user_id,days_since_last_activity,engagement_velocity,frustration_index,completion_ratio,total_events,mrr,churned
1,168,1.1025641025641026,26,0.391304347826087,96,99,1
2,50,0.2962962962962963,17,0.6566265060240963,547,99,0
3,1,1.2142857142857142,44,0.8,744,29,0
4,267,0.34146341463414637,3,0.6470588235294118,53,299,1
5,150,1.1650485436893203,40,0.8762886597938144,1319,29,0
6,215,1.0467289719626167,28,0.9794871794871794,715,29,1
7,121,0.7647058823529411,57,0.9032921810699589,1714,99,0
8,6,1.0,34,0.7988505747126436,671,29,0
9,184,7.0,0,0.3333333333333333,6,99,1
10,57,1.08,8,0.6770833333333334,323,99,0
11,80,0.9916666666666667,147,1.0033057851239668,2335,29,0
12,73,1.5625,13,0.6777777777777778,306,99,0
13,49,0.6176470588235294,15,1.1012658227848102,369,29,0
14,332,0.22857142857142856,13,0.2,41,29,1
15,9,1.3333333333333333,137,0.9336670838548186,2917,99,0
16,95,1.2015503875968991,93,0.9040880503144654,2244,299,0
17,281,1.2692307692307692,15,0.17647058823529413,57,29,1
18,291,30.0,3,1.3333333333333333,29,29,1
19,233,4.0,0,1.0,3,99,1
20,66,2.0,70,0.4222222222222222,367,99,0
21,67,0.6829268292682927,32,0.9256756756756757,613,99,0
22,70,0.708029197080292,56,0.8511904761904762,1171,29,0
23,78,1.56,116,0.5348837209302325,590,29,0
24,98,0.7659574468085106,62,0.5833333333333334,251,29,0
25,46,1.121212121212121,90,0.4105263157894737,400,99,0
26,1,1.1842105263157894,22,0.9357798165137615,452,29,0
27,44,1.1014492753623188,95,0.8409090909090909,1840,29,0
28,273,1.096774193548387,2,0.65,68,299,1
29,40,1.95,15,0.941747572815534,429,29,0
30,27,0.8449612403100775,96,0.896049896049896,1720,299,0
31,197,0.38461538461538464,11,0.8085106382978723,182,99,1
32,65,1.2528735632183907,107,0.8812154696132597,2542,99,0
33,8,1.3466666666666667,136,0.8458549222797928,2677,29,0
34,86,0.96,11,0.6896551724137931,207,29,0
35,139,1.4375,6,0.8775510204081632,196,99,1
36,265,21.0,6,0.5,20,99,1
37,284,11.0,3,0.3333333333333333,10,99,1
38,32,0.9724770642201835,92,0.8813559322033898,2449,29,0
39,8,0.8484848484848485,27,0.75,718,99,0
40,7,1.0571428571428572,178,0.4642857142857143,740,99,0
41,90,0.7588652482269503,100,0.8983050847457628,2107,99,0
42,285,0.5555555555555556,32,0.4583333333333333,128,99,1
43,79,1.1390728476821192,87,0.93812375249501,1812,99,0
44,102,0.5882352941176471,23,0.8916666666666667,491,99,0
45,269,12.0,0,0.5,11,29,1
46,36,1.5,17,0.7870370370370371,413,29,0
47,113,1.9090909090909092,44,0.2222222222222222,223,29,1
48,99,2.142857142857143,14,0.7333333333333333,384,29,0
49,283,0.5217391304347826,2,0.9655172413793104,120,29,1
50,57,1.076271186440678,55,0.8627858627858628,1657,29,0
51,194,0.3333333333333333,1,1.2,46,29,1
52,68,1.0689655172413792,16,0.8,582,29,0
53,243,1.2272727272727273,0,0.7333333333333333,47,99,1
54,222,1.2592592592592593,7,0.9833333333333333,251,299,1
55,38,0.6923076923076923,12,0.8681318681318682,353,29,0
56,136,2.2857142857142856,13,0.7291666666666666,335,299,0
57,18,0.7142857142857143,77,0.8987341772151899,1425,29,0
58,9,0.7054794520547946,75,0.8804780876494024,1755,29,0
59,71,0.9655172413793104,99,0.8711018711018711,1714,29,0
60,169,0.9024390243902439,28,0.35714285714285715,107,29,1
61,120,2.0416666666666665,113,0.2903225806451613,473,99,0
62,48,0.9534883720930233,87,0.4880952380952381,364,99,0
63,118,0.8636363636363636,21,0.8229166666666666,379,29,0
64,291,0.7941176470588235,26,0.5555555555555556,178,29,1
65,8,0.6046511627906976,113,0.34146341463414637,474,29,0
66,161,1.2307692307692308,15,0.6172839506172839,275,29,1
67,84,1.6538461538461537,80,0.9472527472527472,1668,29,0
68,285,1.0740740740740742,7,0.8846153846153846,100,29,1
