user_id,days_since_last_activity,engagement_velocity,frustration_index,completion_ratio,total_events,mrr,churned,risk_score,primary_churn_driver
1,168,1.1025641025641026,26,0.391304347826087,96,99,1,0.9991609,days_since_last_activity
2,50,0.2962962962962963,17,0.6566265060240963,547,99,0,0.0037514286,engagement_velocity
3,1,1.2142857142857142,44,0.8,744,29,0,0.00082708354,frustration_index
4,267,0.3414634146341463,3,0.6470588235294118,53,299,1,0.9995061,days_since_last_activity
5,150,1.1650485436893203,40,0.8762886597938144,1319,29,0,0.01915627,days_since_last_activity
6,215,1.0467289719626167,28,0.9794871794871794,715,29,1,0.9800668,days_since_last_activity
7,121,0.7647058823529411,57,0.9032921810699588,1714,99,0,0.011801192,engagement_velocity
8,6,1.0,34,0.7988505747126436,671,29,0,0.0017238139,frustration_index
9,184,7.0,0,0.3333333333333333,6,99,1,0.99953914,days_since_last_activity
10,57,1.08,8,0.6770833333333334,323,99,0,0.0006154924,Stable Activity
11,80,0.9916666666666668,147,1.0033057851239668,2335,29,0,0.0004973597,mrr
12,73,1.5625,13,0.6777777777777778,306,99,0,0.0006743843,Stable Activity
13,49,0.6176470588235294,15,1.1012658227848102,369,29,0,0.0009361049,engagement_velocity
14,332,0.2285714285714285,13,0.2,41,29,1,0.99956745,days_since_last_activity
15,9,1.3333333333333333,137,0.9336670838548186,2917,99,0,0.0004156251,Stable Activity
16,95,1.2015503875968991,93,0.9040880503144654,2244,299,0,0.00047600557,mrr
17,281,1.2692307692307692,15,0.1764705882352941,57,29,1,0.9995468,days_since_last_activity
18,291,30.0,3,1.3333333333333333,29,29,1,0.99955004,days_since_last_activity
19,233,4.0,0,1.0,3,99,1,0.99950707,days_since_last_activity
20,66,2.0,70,0.4222222222222222,367,99,0,0.002016123,completion_ratio
21,67,0.6829268292682927,32,0.9256756756756755,613,99,0,0.0020652018,frustration_index
22,70,0.708029197080292,56,0.8511904761904762,1171,29,0,0.0011353645,engagement_velocity
23,78,1.56,116,0.5348837209302325,590,29,0,0.00077183364,completion_ratio
24,98,0.7659574468085106,62,0.5833333333333334,251,29,0,0.050717726,total_events
25,46,1.121212121212121,90,0.4105263157894737,400,99,0,0.002641585,completion_ratio
26,1,1.1842105263157894,22,0.9357798165137616,452,29,0,0.0004962722,mrr
27,44,1.1014492753623188,95,0.8409090909090909,1840,29,0,0.00041786453,mrr
28,273,1.096774193548387,2,0.65,68,299,1,0.99951637,days_since_last_activity
29,40,1.95,15,0.941747572815534,429,29,0,0.00048956374,mrr
30,27,0.8449612403100775,96,0.896049896049896,1720,299,0,0.00052795804,mrr
31,197,0.3846153846153846,11,0.8085106382978723,182,99,1,0.99927264,days_since_last_activity
32,65,1.2528735632183907,107,0.8812154696132597,2542,99,0,0.00042965013,Stable Activity
33,8,1.346666666666667,136,0.8458549222797928,2677,29,0,0.00041561262,mrr
34,86,0.96,11,0.6896551724137931,207,29,0,0.012397702,total_events
35,139,1.4375,6,0.8775510204081632,196,99,1,0.9779313,total_events
36,265,21.0,6,0.5,20,99,1,0.9995352,days_since_last_activity
37,284,11.0,3,0.3333333333333333,10,99,1,0.99953914,days_since_last_activity
38,32,0.9724770642201837,92,0.8813559322033898,2449,29,0,0.00046251385,mrr
39,8,0.8484848484848485,27,0.75,718,99,0,0.0024058097,frustration_index
40,7,1.0571428571428572,178,0.4642857142857143,740,99,0,0.00080501975,completion_ratio
41,90,0.7588652482269503,100,0.8983050847457628,2107,99,0,0.00047025725,Stable Activity
42,285,0.5555555555555556,32,0.4583333333333333,128,99,1,0.99968076,days_since_last_activity
43,79,1.1390728476821192,87,0.93812375249501,1812,99,0,0.00042580135,Stable Activity
44,102,0.5882352941176471,23,0.8916666666666667,491,99,0,0.008048515,engagement_velocity
45,269,12.0,0,0.5,11,29,1,0.99955744,days_since_last_activity
46,36,1.5,17,0.7870370370370371,413,29,0,0.0004108176,mrr
47,113,1.9090909090909087,44,0.2222222222222222,223,29,1,0.8826292,total_events
48,99,2.142857142857143,14,0.7333333333333333,384,29,0,0.0016231649,mrr
49,283,0.5217391304347826,2,0.9655172413793104,120,29,1,0.99953616,days_since_last_activity
50,57,1.076271186440678,55,0.8627858627858628,1657,29,0,0.0003882876,frustration_index
51,194,0.3333333333333333,1,1.2,46,29,1,0.9995572,days_since_last_activity
52,68,1.0689655172413792,16,0.8,582,29,0,0.00067726267,mrr
53,243,1.2272727272727273,0,0.7333333333333333,47,99,1,0.999514,days_since_last_activity
54,222,1.2592592592592593,7,0.9833333333333332,251,299,1,0.9942788,days_since_last_activity
55,38,0.6923076923076923,12,0.8681318681318682,353,29,0,0.00075892167,engagement_velocity
56,136,2.2857142857142856,13,0.7291666666666666,335,299,0,0.004218451,mrr
57,18,0.7142857142857143,77,0.8987341772151899,1425,29,0,0.0005666899,engagement_velocity
58,9,0.7054794520547946,75,0.8804780876494024,1755,29,0,0.00057114067,engagement_velocity
59,71,0.9655172413793104,99,0.8711018711018711,1714,29,0,0.00045925734,mrr
60,169,0.902439024390244,28,0.3571428571428571,107,29,1,0.9995129,days_since_last_activity
61,120,2.0416666666666665,113,0.2903225806451613,473,99,0,0.012629896,completion_ratio
62,48,0.9534883720930232,87,0.4880952380952381,364,99,0,0.0028049147,completion_ratio
63,118,0.8636363636363636,21,0.8229166666666666,379,29,0,0.01353537,engagement_velocity
64,291,0.7941176470588235,26,0.5555555555555556,178,29,1,0.99965143,days_since_last_activity
65,8,0.6046511627906976,113,0.3414634146341463,474,29,0,0.002975652,engagement_velocity
66,161,1.2307692307692308,15,0.6172839506172839,275,29,1,0.96224505,days_since_last_activity
67,84,1.6538461538461535,80,0.9472527472527472,1668,29,0,0.00042687164,mrr
68,285,1.0740740740740742,7,0.8846153846153846,100,29,1,0.99940705,days_since_last_activity
69,110,1.0901639344262295,61,0.803921568627451,1669,99,0,0.0018271654,frustration_index
70,213,1.0,12,0.8070175438596491,215,299,1,0.99848217,days_since_last_activity
71,112,1.205128205128205,9,0.8409090909090909,333,29,0,0.0016061249,mrr
72,121,0.509090909090909,78,0.8230088495575221,1525,299,0,0.041461967,engagement_velocity
73,28,0.7292817679558011,57,0.9128919860627178,2003,29,0,0.00073502806,engagement_velocity
74,131,0.5,3,0.6470588235294118,115,29,1,0.99779415,total_events
75,27,0.972972972972973,20,0.9495798319327732,500,29,0,0.0009501328,frustration_index
76,20,1.1304347826086956,19,1.0287769784172662,604,99,0,0.00071716943,Stable Activity
77,86,1.3333333333333333,5,1.1666666666666667,306,299,0,0.0014744947,Stable Activity
78,87,1.0215827338129495,86,0.8795698924731182,1650,99,0,0.0004334897,Stable Activity
79,301,12.0,4,0.3333333333333333,11,29,1,0.9995413,days_since_last_activity
80,90,0.9626865671641792,51,0.8446215139442231,879,99,0,0.0011519904,frustration_index
81,267,0.2972972972972973,0,1.0833333333333333,46,29,1,0.9995505,days_since_last_activity
82,121,0.1818181818181818,7,0.8064516129032258,120,99,1,0.99172884,total_events
83,90,0.723404255319149,65,0.4125,314,29,0,0.021236997,frustration_index
84,29,1.120879120879121,55,0.8727272727272727,1335,29,0,0.00039307468,frustration_index
85,256,1.5555555555555556,49,0.2692307692307692,204,29,1,0.9992556,days_since_last_activity
86,173,0.5454545454545454,11,0.2608695652173913,69,99,1,0.9991449,total_events
87,79,1.1612903225806452,12,1.0746268656716418,299,29,0,0.0024118403,mrr
88,237,0.9736842105263158,5,0.7358490566037735,187,99,1,0.9988525,days_since_last_activity
89,36,0.8611111111111112,27,0.8141592920353983,435,29,0,0.0014379423,frustration_index
90,299,9.0,1,0.3333333333333333,8,99,1,0.99953914,days_since_last_activity
91,246,0.303030303030303,19,0.8780487804878049,569,99,1,0.9954352,days_since_last_activity
92,169,0.8823529411764706,18,0.85,167,99,1,0.9985,total_events
93,-1,1.12,32,1.168421052631579,460,29,0,0.0010376954,frustration_index
94,282,12.0,0,0.4,11,29,1,0.99955744,days_since_last_activity
95,183,5.75,0,0.1538461538461538,25,29,1,0.99954647,days_since_last_activity
96,170,7.571428571428571,21,0.5454545454545454,58,99,1,0.9991652,days_since_last_activity
97,106,0.72,13,0.8596491228070176,228,29,0,0.06332038,total_events
98,304,18.0,2,0.3333333333333333,17,29,1,0.99954647,days_since_last_activity
99,3,0.8111888111888111,66,0.896551724137931,1730,29,0,0.000492459,frustration_index
100,150,0.926605504587156,41,0.7747440273037542,949,29,1,0.56988543,days_since_last_activity
101,44,1.4311926605504588,124,0.9755102040816328,2724,99,0,0.000441324,Stable Activity
102,44,1.6521739130434785,29,0.7333333333333333,504,29,0,0.0009041801,frustration_index
