user_id,active_days,last_active_date,days_since_last_activity,avg_sessions_per_day,total_sessions,churned,risk_score,primary_churn_driver
1,148,2024-09-25,0,2.7094594594594597,401,0,0.00052044657,Stable Activity
2,73,2024-09-25,0,1.9863013698630136,145,0,0.00052044657,Stable Activity
3,33,2024-08-26,30,1.212121212121212,40,0,0.6796811,days_since_last_activity
4,42,2024-08-21,35,1.119047619047619,47,1,0.9034138,avg_sessions_per_day
5,147,2024-09-25,0,2.8775510204081636,423,0,0.00052044657,Stable Activity
6,42,2024-09-23,2,1.1666666666666667,49,0,0.7604625,avg_sessions_per_day
7,141,2024-09-21,4,1.7588652482269505,248,0,0.0009802268,Stable Activity
8,111,2024-09-23,2,1.5765765765765767,175,0,0.0009482219,Stable Activity
9,86,2024-09-22,3,1.7093023255813953,147,0,0.0009482219,Stable Activity
10,47,2024-09-16,9,1.2340425531914894,58,1,0.8774778,avg_sessions_per_day
11,38,2024-09-18,7,1.1578947368421053,44,0,0.80875516,avg_sessions_per_day
12,39,2024-09-16,9,1.4615384615384617,57,0,0.0032013922,Stable Activity
13,161,2024-09-25,0,2.739130434782609,441,0,0.00052044657,Stable Activity
14,150,2024-09-25,0,2.64,396,0,0.00052044657,Stable Activity
15,80,2024-09-25,0,1.8375,147,0,0.00052044657,Stable Activity
16,36,2024-09-11,14,1.1388888888888888,41,0,0.42894202,avg_sessions_per_day
17,102,2024-09-25,0,2.794117647058824,285,0,0.00052044657,Stable Activity
18,42,2024-09-10,15,1.2142857142857144,51,1,0.8772712,avg_sessions_per_day
19,51,2024-09-02,23,1.215686274509804,62,1,0.854454,avg_sessions_per_day
20,33,2024-09-05,20,1.121212121212121,37,0,0.4536434,avg_sessions_per_day
21,104,2024-09-25,0,2.7019230769230766,281,0,0.00052044657,Stable Activity
22,48,2024-07-31,56,1.1041666666666667,53,0,0.28708535,avg_sessions_per_day
23,44,2024-09-25,0,1.25,55,0,0.34101686,avg_sessions_per_day
24,37,2024-07-10,77,1.1621621621621623,43,0,0.056501366,avg_sessions_per_day
25,102,2024-09-25,0,2.6372549019607843,269,0,0.00052044657,Stable Activity
26,189,2024-09-25,0,2.4338624338624335,460,0,0.00052044657,Stable Activity
27,223,2024-09-25,0,2.430493273542601,542,0,0.00052044657,Stable Activity
28,115,2024-09-24,1,1.7217391304347827,198,0,0.00078707695,Stable Activity
29,200,2024-09-25,0,2.625,525,0,0.00052044657,Stable Activity
30,125,2024-09-21,4,1.68,210,0,0.0009802268,Stable Activity
31,88,2024-09-25,0,2.5795454545454546,227,0,0.00052044657,Stable Activity
32,226,2024-09-25,0,2.4734513274336285,559,0,0.00052044657,Stable Activity
33,63,2024-09-25,0,1.9682539682539684,124,0,0.00052044657,Stable Activity
34,123,2024-09-24,1,1.6585365853658536,204,0,0.00078707695,Stable Activity
35,97,2024-09-23,2,1.8350515463917527,178,0,0.0009482219,Stable Activity
36,37,2024-08-31,25,1.3243243243243243,49,1,0.7934523,avg_sessions_per_day
37,123,2024-09-21,4,1.7804878048780488,219,0,0.0009802268,Stable Activity
38,126,2024-09-25,0,2.7142857142857144,342,0,0.00052044657,Stable Activity
39,124,2024-09-24,1,1.6612903225806452,206,0,0.00078707695,Stable Activity
40,126,2024-09-25,0,2.619047619047619,330,0,0.00052044657,Stable Activity
41,134,2024-09-24,1,1.5746268656716418,211,0,0.00078707695,Stable Activity
42,37,2024-09-17,8,1.2432432432432432,46,1,0.79147893,avg_sessions_per_day
43,80,2024-09-25,0,1.8875,151,0,0.00052044657,Stable Activity
44,45,2024-09-11,14,1.1333333333333333,51,1,0.9579128,avg_sessions_per_day
45,28,2024-09-18,7,1.2142857142857144,34,0,0.021219699,avg_sessions_per_day
46,121,2024-09-23,2,1.677685950413223,203,0,0.0009482219,Stable Activity
47,49,2024-08-08,48,1.2244897959183672,60,0,0.47648528,avg_sessions_per_day
48,223,2024-09-25,0,2.390134529147982,533,0,0.00052044657,Stable Activity
49,132,2024-09-24,1,1.5984848484848484,211,0,0.00078707695,Stable Activity
50,159,2024-09-25,0,2.79874213836478,445,0,0.00052044657,Stable Activity
51,198,2024-09-23,2,2.4494949494949494,485,0,0.0009482219,Stable Activity
52,86,2024-09-25,0,1.7325581395348837,149,0,0.00052044657,Stable Activity
53,168,2024-09-25,0,2.5714285714285716,432,0,0.00052044657,Stable Activity
54,39,2024-08-28,28,1.3076923076923077,51,0,0.7627485,avg_sessions_per_day
55,143,2024-09-25,0,2.7272727272727275,390,0,0.00052044657,Stable Activity
56,31,2024-09-20,5,1.1935483870967742,37,0,0.044646587,avg_sessions_per_day
57,42,2024-08-24,32,1.2142857142857144,51,1,0.8853497,avg_sessions_per_day
58,87,2024-09-25,0,2.8160919540229883,245,0,0.00052044657,Stable Activity
59,134,2024-09-22,3,1.5970149253731345,214,0,0.0009482219,Stable Activity
60,40,2024-09-10,15,1.1,44,1,0.88172626,avg_sessions_per_day
61,78,2024-09-25,0,1.7307692307692308,135,0,0.00052044657,Stable Activity
62,132,2024-09-25,0,1.6666666666666667,220,0,0.00052044657,Stable Activity
63,101,2024-09-24,1,1.7821782178217822,180,0,0.00078707695,Stable Activity
64,89,2024-09-25,0,1.7865168539325844,159,0,0.00052044657,Stable Activity
65,32,2024-07-11,76,1.21875,39,0,0.025095643,avg_sessions_per_day
66,90,2024-09-23,2,1.6888888888888889,152,0,0.0009482219,Stable Activity
67,30,2024-07-18,69,1.1,33,0,0.12268999,avg_sessions_per_day
68,97,2024-09-23,2,1.8144329896907216,176,0,0.0009482219,Stable Activity
69,46,2024-09-13,12,1.1739130434782608,54,1,0.93263054,avg_sessions_per_day
70,189,2024-09-25,0,2.476190476190476,468,0,0.00052044657,Stable Activity
71,33,2024-09-17,8,1.121212121212121,37,0,0.1490012,avg_sessions_per_day
72,203,2024-09-24,1,2.5073891625615765,509,0,0.00078707695,Stable Activity
73,97,2024-09-25,0,2.9896907216494846,290,0,0.00052044657,Stable Activity
74,223,2024-09-25,0,2.4618834080717487,549,0,0.00052044657,Stable Activity
75,50,2024-09-21,4,1.18,59,0,0.3201463,avg_sessions_per_day
76,134,2024-09-25,0,1.626865671641791,218,0,0.00052044657,Stable Activity
77,50,2024-08-19,37,1.22,61,1,0.64520717,avg_sessions_per_day
78,200,2024-09-25,0,2.57,514,0,0.00052044657,Stable Activity
79,42,2024-08-24,32,1.1904761904761905,50,0,0.8873699,avg_sessions_per_day
80,45,2024-09-19,6,1.3555555555555556,61,0,0.65558326,avg_sessions_per_day
81,49,2024-09-15,10,1.3061224489795917,64,1,0.9037273,avg_sessions_per_day
82,46,2024-08-05,51,1.217391304347826,56,0,0.81076056,avg_sessions_per_day
83,34,2024-09-16,9,1.2352941176470589,42,0,0.24338825,avg_sessions_per_day
84,36,2024-08-29,27,1.3055555555555556,47,0,0.3761489,avg_sessions_per_day
85,123,2024-09-21,4,1.4715447154471544,181,0,0.0009802268,Stable Activity
86,85,2024-09-23,2,1.8,153,0,0.0009482219,Stable Activity
87,139,2024-09-23,2,1.5683453237410072,218,0,0.0009482219,Stable Activity
88,192,2024-09-25,0,2.567708333333333,493,0,0.00052044657,Stable Activity
89,132,2024-09-25,0,1.5151515151515151,200,0,0.00052044657,Stable Activity
90,108,2024-09-19,6,1.722222222222222,186,0,0.0014653193,Stable Activity
91,41,2024-08-19,37,1.2439024390243902,51,0,0.7201883,avg_sessions_per_day
92,226,2024-09-25,0,2.353982300884956,532,0,0.00052044657,Stable Activity
93,48,2024-08-28,28,1.1458333333333333,55,0,0.77733576,avg_sessions_per_day
94,131,2024-09-25,0,2.7251908396946565,357,0,0.00052044657,Stable Activity
95,120,2024-09-25,0,2.85,342,0,0.00052044657,Stable Activity
96,184,2024-09-25,0,2.543478260869565,468,0,0.00052044657,Stable Activity
97,42,2024-09-22,3,1.2857142857142856,54,0,0.6972462,avg_sessions_per_day
98,96,2024-09-24,1,1.5520833333333333,149,0,0.00078707695,Stable Activity
99,90,2024-09-24,1,1.9222222222222225,173,0,0.00078707695,Stable Activity
100,27,2024-09-22,3,1.2962962962962965,35,0,0.014427973,Stable Activity
101,65,2024-09-23,2,1.7384615384615385,113,0,0.0009482219,Stable Activity
102,36,2024-08-02,54,1.222222222222222,44,1,0.9360583,days_since_last_activity
103,127,2024-09-24,1,2.7007874015748032,343,0,0.00078707695,Stable Activity
104,140,2024-09-22,3,1.7214285714285713,241,0,0.0009482219,Stable Activity
105,42,2024-09-09,16,1.119047619047619,47,1,0.9215099,avg_sessions_per_day
106,44,2024-09-12,13,1.2272727272727273,54,1,0.8998535,avg_sessions_per_day
107,93,2024-09-25,0,1.6774193548387095,156,0,0.00052044657,Stable Activity
108,43,2024-09-10,15,1.1627906976744187,50,1,0.8854765,avg_sessions_per_day
109,149,2024-09-25,0,1.4832214765100673,221,0,0.00052044657,Stable Activity
110,102,2024-09-25,0,2.7549019607843137,281,0,0.00052044657,Stable Activity
111,43,2024-09-19,6,1.3255813953488371,57,0,0.73385036,avg_sessions_per_day
112,195,2024-09-25,0,2.343589743589744,457,0,0.00052044657,Stable Activity
113,83,2024-09-22,3,1.843373493975904,153,0,0.0009482219,Stable Activity
114,36,2024-08-17,39,1.3333333333333333,48,0,0.41005218,avg_sessions_per_day
115,135,2024-09-24,1,1.7185185185185183,232,0,0.00078707695,Stable Activity
116,160,2024-09-25,0,2.5375,406,0,0.00052044657,Stable Activity
117,68,2024-09-25,0,1.7205882352941175,117,0,0.00052044657,Stable Activity
118,116,2024-09-22,3,1.6206896551724137,188,0,0.0009482219,Stable Activity
119,214,2024-09-25,0,2.457943925233645,526,0,0.00052044657,Stable Activity
120,51,2024-09-18,7,1.2745098039215685,65,0,0.9067737,avg_sessions_per_day
121,78,2024-09-24,1,1.717948717948718,134,0,0.00078707695,Stable Activity
122,94,2024-09-24,1,1.702127659574468,160,0,0.00078707695,Stable Activity
123,232,2024-09-25,0,2.400862068965517,557,0,0.00052044657,Stable Activity
124,53,2024-09-07,18,1.169811320754717,62,1,0.812212,avg_sessions_per_day
125,30,2024-09-18,7,1.1666666666666667,35,0,0.08260783,avg_sessions_per_day
126,109,2024-09-25,0,1.6972477064220184,185,0,0.00052044657,Stable Activity
127,127,2024-09-25,0,1.5669291338582676,199,0,0.00052044657,Stable Activity
128,95,2024-09-25,0,1.5157894736842104,144,0,0.00052044657,Stable Activity
129,35,2024-07-27,60,1.1714285714285715,41,0,0.2795359,avg_sessions_per_day
130,119,2024-09-25,0,1.5714285714285714,187,0,0.00052044657,Stable Activity
131,128,2024-09-21,4,1.5625,200,0,0.0009802268,Stable Activity
132,98,2024-09-25,0,1.806122448979592,177,0,0.00052044657,Stable Activity
133,30,2024-09-25,0,1.2,36,0,0.027776262,avg_sessions_per_day
134,40,2024-08-27,29,1.175,47,1,0.9070623,avg_sessions_per_day
135,43,2024-08-16,40,1.116279069767442,48,0,0.354941,avg_sessions_per_day
136,141,2024-09-25,0,1.6595744680851063,234,0,0.00052044657,Stable Activity
137,105,2024-09-24,1,1.7142857142857144,180,0,0.00078707695,Stable Activity
138,122,2024-09-25,0,2.6557377049180326,324,0,0.00052044657,Stable Activity
139,108,2024-09-25,0,2.6851851851851847,290,0,0.00052044657,Stable Activity
140,90,2024-09-25,0,1.8333333333333333,165,0,0.00052044657,Stable Activity
